ZIP Code,Type,City,County,Area Codes
ZIP Code 73669,Standard,Thomas,Custer,580
ZIP Code 73673,Standard,Willow,Greer,580
ZIP Code 73701,Standard,Enid,Garfield,580
ZIP Code 73702,P.O. Box,Enid,Garfield,580
ZIP Code 73703,Standard,Enid,Garfield,580
ZIP Code 73705,Standard,Enid,Garfield,580
ZIP Code 73706,P.O. Box,Enid,Garfield,580
ZIP Code 73716,Standard,Aline,Alfalfa,580
ZIP Code 73717,Standard,Alva,Woods,580
ZIP Code 73718,Standard,Ames,Major,580
ZIP Code 73719,Standard,Amorita,Alfalfa,580
ZIP Code 73720,Standard,Bison,Garfield,580
ZIP Code 73722,Standard,Burlington,Alfalfa,580
ZIP Code 73726,Standard,Carmen,Alfalfa,580
ZIP Code 73727,Standard,Carrier,Garfield,580
ZIP Code 73728,Standard,Cherokee,Alfalfa,580
ZIP Code 73729,Standard,Cleo Springs,Major,580
ZIP Code 73730,Standard,Covington,Garfield,580
ZIP Code 73731,Standard,Dacoma,Woods,580
ZIP Code 73733,Standard,Douglas,Garfield,580
ZIP Code 73734,Standard,Dover,Kingfisher,405
ZIP Code 73735,Standard,Drummond,Garfield,580
ZIP Code 73736,Standard,Fairmont,Garfield,580
ZIP Code 73737,Standard,Fairview,Major,580
ZIP Code 73738,Standard,Garber,Garfield,580
ZIP Code 73739,Standard,Goltry,Alfalfa,580
ZIP Code 73741,Standard,Helena,Alfalfa,580
ZIP Code 73742,Standard,Hennessey,Kingfisher,405
ZIP Code 73743,P.O. Box,Hillsdale,Garfield,580
ZIP Code 73744,Standard,Hitchcock,Blaine,580
ZIP Code 73746,P.O. Box,Hopeton,Woods,580
ZIP Code 73747,Standard,Isabella,Major,580
ZIP Code 73749,Standard,Jet,Alfalfa,580
ZIP Code 73750,Standard,Kingfisher,Kingfisher,405
ZIP Code 73753,Standard,Kremlin,Garfield,580
ZIP Code 73754,Standard,Lahoma,Garfield,580
ZIP Code 73755,Standard,Longdale,Blaine,580
ZIP Code 73756,Standard,Loyal,Kingfisher,405
ZIP Code 73757,Standard,Lucien,Noble,580
ZIP Code 73758,Standard,Manchester,Grant,580
ZIP Code 73759,Standard,Medford,Grant,580
ZIP Code 73760,Standard,Meno,Major,580
ZIP Code 73761,Standard,Nash,Grant,580
ZIP Code 73762,Standard,Okarche,Kingfisher,405
ZIP Code 73763,Standard,Okeene,Blaine,580
ZIP Code 73764,Standard,Omega,Kingfisher,405
ZIP Code 73766,Standard,Pond Creek,Grant,580
ZIP Code 73768,Standard,Ringwood,Major,580
ZIP Code 73770,Standard,Southard,Blaine,580
ZIP Code 73771,Standard,Wakita,Grant,580
ZIP Code 73772,Standard,Watonga,Blaine,580
ZIP Code 73773,Standard,Waukomis,Garfield,580
ZIP Code 73801,Standard,Woodward,Woodward,580
ZIP Code 73802,P.O. Box,Woodward,Woodward,580
ZIP Code 73832,Standard,Arnett,Ellis,580
ZIP Code 73834,Standard,Buffalo,Harper,580
ZIP Code 73835,Standard,Camargo,Dewey,580
ZIP Code 73838,Standard,Chester,Major,580
ZIP Code 73840,Standard,Fargo,Ellis,580
ZIP Code 73841,Standard,Fort Supply,Woodward,580
ZIP Code 73842,Standard,Freedom,Woods,580
ZIP Code 73843,Standard,Gage,Ellis,580
ZIP Code 73844,Standard,Gate,Beaver,580
ZIP Code 73848,Standard,Laverne,Harper,580
ZIP Code 73851,Standard,May,Harper,580
ZIP Code 73852,Standard,Mooreland,Woodward,580
ZIP Code 73853,Standard,Mutual,Woodward,580
ZIP Code 73855,Standard,Rosston,Harper,580
ZIP Code 73857,Standard,Sharon,Woodward,580
ZIP Code 73858,Standard,Shattuck,Ellis,580
ZIP Code 73859,Standard,Vici,Dewey,580
ZIP Code 73860,Standard,Waynoka,Woods,580
ZIP Code 73901,P.O. Box,Adams,Texas,580
ZIP Code 73931,Standard,Balko,Beaver,580
ZIP Code 73932,Standard,Beaver,Beaver,580
ZIP Code 73933,Standard,Boise City,Cimarron,580
ZIP Code 73937,Standard,Felt,Cimarron,580
ZIP Code 73938,Standard,Forgan,Beaver,580
ZIP Code 73939,Standard,Goodwell,Texas,580
ZIP Code 73942,Standard,Guymon,Texas,580
ZIP Code 73944,Standard,Hardesty,Texas,580
ZIP Code 73945,Standard,Hooker,Texas,580
ZIP Code 73946,Standard,Kenton,Cimarron,580
ZIP Code 73947,Standard,Keyes,Cimarron,580
ZIP Code 73949,Standard,Texhoma,Texas,580
ZIP Code 73950,Standard,Turpin,Beaver,580
ZIP Code 73951,Standard,Tyrone,Texas,580
ZIP Code 74002,Standard,Barnsdall,Osage,918
ZIP Code 74003,Standard,Bartlesville,Washington,918
ZIP Code 74004,Unique,Bartlesville,Washington,918
ZIP Code 74005,P.O. Box,Bartlesville,Washington,918
ZIP Code 74006,Standard,Bartlesville,Washington,918
ZIP Code 74008,Standard,Bixby,Tulsa,918
ZIP Code 74010,Standard,Bristow,Creek,918
ZIP Code 74011,Standard,Broken Arrow,Tulsa,918
ZIP Code 74012,Standard,Broken Arrow,Tulsa,918
